AAA — Анаа, Французская Полинезия, Анаа
RNH — Municipal, США, New Richmond
RNI — Корн-Айленд, Никарагуа, Корн-Айленд
RNJ — Yoronjima, Япония, Yoronjima
RNL — Rennell, Соломоновы острова, Rennell
RNN — Bornholm, Дания, Rшnne
RNP — Rongelap Island, Маршалловы острова, Rongelap Island
RNR — Робинзон-Ривер, Папуа — Новая Гвинея, Робинзон-Ривер
RNS — St Jacques, Франция, Ренн
RNT — Renton, США, Renton, WA
RNU — Ранау, Малайзия, Ранау
RNZ — Rensselaer, США, Rensselaer
ROA — Roanoke Regional Airport, США, Roanoke
ROB — Roberts Intl, Либерия, Monrovia
ROC — Greater Rochester International, США, Rochester, NY
ROD — Robertson, ЮАР, Robertson
ROG — Rogers, США, Rogers
ROH — Robinhood, Австралия, Robinhood
ROI — Roi Et Airport, Таиланд, Рой Ет
ROK — Рокхэмптон, Австралия, Рокхэмптон
ROL — Roosevelt, США, Roosevelt
RON — Рондон, Колумбия, Рондон
ROO — Rondonopolis, Бразилия, Rondonopolis
ROP — Рота, Северные Марианские острова, Рота
ROR — Babelthuap/Koror, Палау, Koror
ROS — Fisherton, Аргентина, Росарио
ROT — Роторуа, Новая Зеландия, Роторуа
ROU — Rousse, Болгария, Rousse
ROV — Ростов, Россия, Ростов
ROW — Industrial, США, Roswell
ROX — Municipal, США, Roseau
ROY — Рио-Майо, Аргентина, Рио-Майо
RPA — Ролпа, Непал, Ролпа
RPB — Ропер-Бэй, Австралия, Ропер-Бэй
RPM — Ngukurr, Австралия, Ngukurr
RPN — Рош-Пина, Израиль, Рош Пина
RPR — Райпур, Индия, Райпур
RPV — Roper Valley, Австралия, Roper Valley
RPX — Roundup, США, Roundup
RRA — Ронда, Испания, Ронда
RRE — Marree, Австралия, Marree
RRG — Rodrigues Is, Маврикий, Rodrigues Is
RRI — Барора, Соломоновы острова, Барора
RRK — Руркела, Индия, Руркела
RRL — Municipal, Австралия, Merrill
RRM — Марромеу, Мозамбик, Марромеу
RRN — Serra Norte, Бразилия, Serra Norte
RRO — Соренто, Италия, Неаполь
RRS — Ророс, Норвегия, Ророс
RRT — Warroad, США, Warroad
RRV — Робинзон-Ривер, Австралия, Робинзон-Ривер
RSA — Санта-Роза, Аргентина, Санта-Роса
RSB — Roseberth, Австралия, Roseberth
RSD — S Eleuthera, Багамские острова, Rock Sound
RSE — Rose Bay, Австралия, Сидней
RSG — Серра-Пелада, Бразилия, Серра-Пелада
RSH — Russian SPB, США, Russian Mission
RSI — Рио-Сидра, Панама, Рио-Сидра
RSJ — Rosario SPB, США, Росарио
RSK — Рансики, Индонезия, Рансики
RSL — Расселл, США, Расселл
RSN — Ruston, США, Ruston
RSP — Raspberry Strait, США, Raspberry Strait
RSS — Росейрес, Судан, Росейрес
RST — International, США, Рочестер
RSU — Yeosu, Южная Корея, Yeosu
RSW — Southwest Florida Reg, США, Форт Майерс
RSX — Rouses Point, США, Rouses Point
RTA — Rotuma Island, Фиджи, Rotuma Island
RTB — Роатан, Гондурас, Роатан
RTC — Ратнагири, Индия, Ратнагири
RTD — Rotunda, США, Rotunda
RTE — Marguerite Bay, США, Marguerite Bay
RTG — Рутенг, Индонезия, Рутенг
RTI — Роти, Индонезия, Роти
RTL — Spirit Lake, США, Spirit Lake
RTM — Rotterdam Zestienhoven, Нидерланды, Роттердам
RTN — Crews Field, США, Raton
RTP — Рутланд-Плейнз, Австралия, Рутланд-Плейнз
RTS — остров Роттнест, Австралия, остров Роттнест
RTW — Саратов, Россия, Саратов
RTY — Merty, Австралия, Merty
RUA — Аруа, Уганда, Аруа
RUF — Yuruf, Индонезия, Yuruf
RUG — Руган, Китай, Руган
RUH — King Khaled Intl, Саудовская Аравия, Халлсберг
RUI — Municipal, США, Ruidoso
RUK — Рукумкот, Непал, Рукумкот
RUM — Rumjatar, Непал, Rumjatar
RUN — Gillot, Реюньон, St Denis de la Reunion
RUP — Рупси, Индия, Рупси
RUR — Rurutu, Французская Полинезия, Rurutu
RUS — Marau Sound, Соломоновы острова, Marau Sound
RUT — Рутленд, США, Рутленд
RUU — Ruti, Папуа — Новая Гвинея, Ruti
RUV — Рубелсанто, Гватемала, Рубелсанто
RUY — Копан, Гондурас, Копан
RVA — Фарафангана, Мадагаскар, Фарафангана
RVC — Rivercess, Либерия, Rivercess
RVD — Риу-Верди, Бразилия, Риу-Верди
RVE — Los Colonizadores, Колумбия, Саравена
RVH — Ржевка, Россия, Санкт-Петербург
RVK — Ryumsjoen, Норвегия, Roervik
RVN — Рованиеми, Финляндия, Рованиеми
RVO — Рейвило, ЮАР, Рейвило
RVR — Грин-Ривер, США, Грин-Ривер
RVS — R.Lloyd Jones, США, Тулса
RVT — Ravensthorpe, Хорватия, Ravensthorpe
RVV — Raivavae, Французская Полинезия, Rairua
RVY — Ривера, Уругвай, Ривера
RWB — Rowan Bay, США, Rowan Bay
RWF — Redwood Falls Muni, США, Redwood Falls
RWI — Rocky Mount-wilson, США, Rocky Mount,
RWL — Rawlins, США, Rawlins
RWN — Ровно, Украина, Ровно
RWS — Sumare, Бразилия, Sumare
RXA — Рауда, Йемен, Рауда
RXS — Розас-Сити, Филиппины, Рохас Сити
RYB — Рыбинск, Россия, Рыбинск
RYK — Рахим-Яр-Хан, Пакистан, Рахим-Яр-Хан
RYN — Medis, Франция, Ройан
RYO — Рио-Турбио, Аргентина, Рио-Турбио
RZA — Санта-Круз, Аргентина, Санта-Круз-Айленд
RZE — Jasionka, Польша, Жешув
RZH — Quartz Hill, США, Lancaster
RZN — Турлатово, Россия, Рязань
RZP — CLR Airport, Филиппины, Taytay Sandoval
RZR — Рамсар, Иран, Рамсар
RZS — Sawan, Пакистан, Sawan
RZZ — Halifax County, США, Roanoke Rapids
SAA — Shively Field, США, Saratoga
SAB — J. Yrausquin, Нидерландские Антильские острова, Saba Island
SAC — Executive, США, Сакраменто
SAD — Safford, США, Safford
SAE — Сангир, Индонезия, Сангир
SAF — Санта Фе, США, Санта Фе
SAG — Sagwon, США, Sagwon
SAJ — Сираджгандж, Индия, Сираджгандж
SAK — Саударкрокур, Исландия, Саударкрокур
SAL — El Salvador International, Сальвадор, Сан-Сальвадор
SAM — Саламо, Папуа — Новая Гвинея, Саламо
SAN — San Diego International Airport, США, Сан Диего
SAP — Ramon Villeda Morales, Гондурас, San Pedro Sula
SAQ — San Andros, Багамские острова, San Andros
SAR — Sparta Community, США, Спарта
SAS — Salton City, США, Salton City
SAT — San Antonio International, США, Сен Антонио
SAU — Саву, Индонезия, Саву
SAV — Savannah/Hilton Head, США, Саванна
SAW — Sabiha Gokcen, Турция, Стамбул
SAX — Самбу, Панама, Самбу
SAY — Сиена, Италия, Сиенна
SAZ — Сасстаун, Либерия, Сасстаун
SBA — Municipal, США, Санта-Барбара-Ба
SBB — Santa Barbara Ba, Венесуэла, Santa Barbara Ba
SBC — Selbang, Папуа — Новая Гвинея, Selbang
SBD — Norton Afb, США, Сан Бернардино
SBE — Suabi, Папуа — Новая Гвинея, Suabi
SBF — Сардех-Банд, Афганистан, Сардех-Банд
SBG — Narita, Индонезия, Sabang
SBH — St Barthelemy, Гваделупа, St Barthelemy
SBI — Sambailo, Гвинея, Кундара
SBJ — Sao Mateus, Бразилия, Sao Mateus
SBK — Saint Brieuc-Armor, Франция, Tremuson
SBL — Yacuma, Боливия, Санта-Ана
SBM — Memorial, США, Sheboygan
SBN — South Bend Regional, США, South Bend
SBO — Salina, США, Salina
SBP — San Luis County Regional Airport, США, Сан Луис Обиспо
SBQ — Сиби, Пакистан, Сиби
SBR — Saibai Island, Папуа — Новая Гвинея, Saibai Island
SBS — Steamboat Springs, США, Steamboat Springs
SBT — Tri-City, США, Сан Бернардино
SBU — Спрингбок, ЮАР, Спрингбок
SBV — Сабах, Папуа — Новая Гвинея, Сабах
SBW — Sibu, Малайзия, Sibu
SBX — Shelby, США, Shelby
SBY — Wicomico Regional, США, Salisbury-Ocean City
SBZ — Сибиу, Румыния, Сибиу
SCA — Санта-Каталина, Колумбия, Санта-Каталина
SCB — State, США, Scribner
SCC — Prudhoe Bay/Deadhorse, США, Prudhoe Bay/Deadhorse
SCD — Зулако, Гондурас, Зулако
SCE — University Park, США, State College
SCF — Scottsdale Municipal, США, Феникс
SCG — Spring Creek, Австралия, Spring Creek
SCH — Schenectady County, США, Schenectady, NY
SCI — Сан-Кристобаль, Венесуэла, Сан-Кристобаль
SCJ — Smith Cove, США, Smith Cove
SCK — Stockton Metropolitan Airport, США, Stockton
SCL — Arturo Merino Benitez, Чили, Сантьяго
SCM — SPB, США, Scammon Bay
SCN — Ensheim, Германия, Saarbruecken
SCO — Актау, Казахстан, Актау
SCP — St Crepin, Франция, St Crepin
SCQ — Сантьяго де Компостела, Испания, Сантьяго де Компостела
SCR — Municipal, США, Scranton
SCS — Scatsta, Великобритания, Shetland Islands
SCT — Сокотра, Йемен, Сокотра
SCU — Antonio Maceo, Куба, Сантьяго
SCV — Salcea, Румыния, Сучава
SCW — Сыктывкар, Россия, Сыктывкар
SCX — Залина-Крус, Мексика, Залина-Крус
SCY — Сан-Кристобаль, Эквадор, Puerto Baquerizo Moreno, San Cristуbal Island, Galбpagos Islands
SCZ — Santa Cruz Is, Соломоновы острова, Santa Cruz Is
SDA — Baghdad International, Ирак, Багдад
SDB — Langebaanweg, ЮАР, Saldanha Bay
SDC — Сендкрик, Гайана, Сендкрик
SDD — Lubango, Ангола, Lubango
SDE — Santiago Del Estero, Аргентина, Santiago Del Estero
SDF — Louisville International (Standiford Field), США, Louisville, KY
SDG — Санандадж, Иран, Санандадж
SDH — Santa Rosa Copan, Гондурас, Santa Rosa Copan
SDI — Сайдор, Папуа — Новая Гвинея, Сайдор
SDJ — Сендай, Япония, Сендай
SDK — Сандакан, Малайзия, Сандакан
SDL — Sundsvall/harnosand, Швеция, Сандсвалль
SDM — Brown Field Municipal, США, Сан Диего
SDN — Sandane, Норвегия, Sandane
SDO — Ryotsu Sado Is, Япония, Ryotsu Sado Is
SDP — Municipal, США, Sand Point
SDQ — Las Americas, Доминиканская Республика, Санто-Доминго
SDR — Сантандер, Испания, Сантандер
SDS — Садо-Сима, Япония, Садо-Сима
SDT — Саиду-Шариф, Пакистан, Саиду-Шариф
SDU — Santos Dumont, Бразилия, Rio De Janeiro
SDV — Sde Dov, Израиль, Tel Aviv Yafo
SDW — Сандвип, Бангладеш, Сандвип
SDX — Седона, США, Седона
SDY — Richland Municipal, США, Sidney
SEA — Seattle-Tacoma International, США, Seattle, WA
SEB — Себа, Ливия, Себа
SEC — Серр Шевалье, Франция, Сер-Шевалье
SEE — Gillespie Field, США, Сан Диего
SEF — Sebring Regional Airport, США, Sebring, Fl
SEG — Penn Valley, США, Selinsgrove
SEH — Сенггех, Индонезия, Сенггех
SEI — Senhor Do Bonfim, Бразилия, Senhor Do Bonfim
SEJ — Seydisfjordur, Исландия, Seydisfjordur
SEK — Er Errachidia, Марокко, Ксар-Эс-Сук
SEM — Craig AFB, США, Selma
SEN — London Southend, Великобритания, Southend
SEO — Seguela, Кот д’Ивуар, Seguela
SEP — Clark Field, США, Stephenville
SEQ — Sungai Pakning, Индонезия, Sungai Pakning
SER — Freeman Municipal, США, Seymour
SES — Selfield, США, Selma
SET — Сан-Эстебан, Гондурас, Сан-Эстебан
SEU — Серонера, Танзания, Серонера
SEV — Северодонецк, Украина, Северодонецк
SEW — Сива, Египет, Сива
SEX — Зембах, Германия, Sembach
SEY — Селибаби, Мавритания, Селибаби
SEZ — Seychelles International Airport, Сейшельские о-ва, Остров Махе
SFA — Sfax Thyna, Тунис, Сфакс
SFB — Orlando Sanford Intl, США, Sanford
SFC — St Francois, Гваделупа, St Francois
SFD — Las Flecheras, Венесуэла, San Fernando De Apure
SFE — Сан Фернандо, Филиппины, Сан Фернандо
SFF — Felts Field, США, Спокане
SFG — Esperance, Нидерланды, St Martin
SFH — Сан-Фелипе, Колумбия, Сан-Фелипе
SFI — Сафи, Марокко, Сафи
SFJ — Kangerlussuaq, Гренландия, Kangerlussuaq
SFK — Soure, Бразилия, Soure
SFL — Sao Filipe, Кабо-Верде, Sao Filipe
SFM — Sanford, США, Sanford
SFN — Санта Фе, Аргентина, Санта Фе
SFO — San Francisco International, США, San Francisco, CA
SFP — Surfers Paradise, Австралия, Surfers Paradise
SFQ — Sanliurfa, Турция, Sanliurfa
SFR — Сан Фернандо, Колумбия, San Fernando, CA
SFT — Скеллефти, Швеция, Скеллефти
SFU — Сафиа, Папуа — Новая Гвинея, Сафиа
SFV — Santa Fe Do Sul, Бразилия, Santa Fe Do Sul
SFW — Санта Фе, Панама, Санта Фе
SFX — Сан-Феликс, Венесуэла, Сан-Феликс
SFZ — North Central, США, Pawtucket, RI
SGA — Sheghnan, Таджикистан, Sheghnan
SGB — Сингауа, Папуа — Новая Гвинея, Сингауа
SGC — Сургут, Россия, Сургут
SGD — Сондерборг, Дания, Сондерборг
SGE — Siegerland Airport, Германия, Зиген
SGF — Springfield-Branson Rg, США, Springfield
SGG — Симанганг, Малайзия, Симанганг
SGH — Springfield, США, Springfield
SGI — Sargodha Apt, Пакистан, Саргодха
SGJ — Сагарай, Папуа — Новая Гвинея, Сагарай
SGK — Сангапи, Папуа — Новая Гвинея, Сангапи
SGL — Sangley Point NAS, Филиппины, Cavite City
SGM — Сан-Игнасио, Мексика, Сан-Игнасио
SGN — Tan Son Nhat International, Вьетнам, Хо Чи Мин Сити
SGO — Сент Джордж, Австралия, Сент Джордж
SGP — Shay Gap, Австралия, Shay Gap
SGQ — Санггата, Индонезия, Санггата
SGR — Sugar Land Regional, США, Houston, TX
SGS — Санга-Санга, Филиппины, Санга-Санга
SGT — Stuttgart Municipal, США, Stuttgart, AR
SGU — Municipal, США, Saint George
SGV — Сьерра-Гранде, Аргентина, Сьерра-Гранде
SGW — Saginaw Bay, США, Saginaw Bay
SGX — Сонгеа, Танзания, Сонгеа
SGY — Municipal, США, Skagway
SGZ — Сонгкхла, Таиланд, Сонгкхла
SHA — Hongqiao, Китай, Шанхай
SHB — Накасибецу, Япония, Накасибецу
SHC — Индаселасси, Эфиопия, Индаселасси
SHD — Shenandoah Valley, США, Staunton
SHE — Шеньян, Китай, Шеньян
SHF — Шаньягван, Китай, Шаньягван
SHG — Shungnak, США, Shungnak
SHH — Shishmaref, США, Shishmaref
SHI — Симожисима, Япония, Симожисима
SHJ — Шарджа, ОАЭ, Шарджа
SHK — Сехонгхонг, Лесото, Сехонгхонг
SHL — Barapani, Индия, Шиллонг
SHM — Ширахама, Япония, Ширахама
SHN — Sanderson Field, США, Shelton
SHO — Seolak, Южная Корея, Сокчо
SHP — Циньхуандао, Китай, Циньхуандао
SHQ — Southport, Австралия, Southport
SHR — Sheridan, США, Sheridan
SHS — Шаши, Китай, Шаши
SHT — Шеппартон, Австралия, Шеппартон
SHU — Smith Point, Австралия, Smith Point
SHV — Regional, США, Шревспорт
SHW — Шарура, Саудовская Аравия, Шарура
SHX — Shageluk, США, Shageluk
SHY — Шиньянга, Танзания, Шиньянга
SHZ — Сешутес, Лесото, Сешутес
SIA — Xiguan, Китай, Xi An
SIB — Сибити, Конго, Сибити
SIC — Sinop Airport, Турция, Синоп
SID — Amilcar Cabral Intl, Кабо-Верде, Sal
SIE — Синес, Португалия, Синес
SIF — Simara, Непал, Симара
SIG — Isla Grande, Пуэрто Рико, Сан Хуан
SIH — Силгади-Доти, Непал, Силгади-Доти
SII — Сиди-Ифни, Марокко, Сиди-Ифни
SIJ — Сиглуфьордур, Исландия, Сиглуфьордур
SIK — Memorial, США, Sikeston
SIL — Сила, Папуа — Новая Гвинея, Сила
SIM — Симбай, Папуа — Новая Гвинея, Симбай
SIN — Changi, Сингапур, Сингапур
SIO — Smithton, Австралия, Smithton
SIP — Симферополь, Украина, Симферополь
SIQ — Dabo, Индонезия, Singkep
SIR — Сион, Швейцария, Сион
SIS — Сишен, ЮАР, Сишен
SIT — Sitka, США, Sitka
SIU — Сиуна, Никарагуа, Сиуна
SIV — County, США, Sullivan
SIW — Сибиса, Индонезия, Сибиса
SIX — Singleton, Австралия, Singleton
SIY — Siskiyou County, США, Montague
SIZ — Сиссано, Папуа — Новая Гвинея, Сиссано
SJA — Сан Хуан, Перу, Сан Хуан
SJB — Сан-Хоакин, Боливия, Сан-Хоакин
SJC — Mineta San Jose International Airport, США, Сан-Хосе
SJD — Los Cabos, Мексика, San Jose Del Cabo
SJE — San Jose Del Gua, Колумбия, San Jose Del Gua
SJF — St John Island, Американские Виргинские острова, St John Island
SJG — Сан-Педро-Жапуа, Колумбия, Сан-Педро-Жапуа
SJH — San Juan Del Cesar, Колумбия, San Juan Del Cesar
SJI — Mcguire Fld, Филиппины, Сан-Хосе
SJJ — Sarajevo, Босния и Герцеговина, Сараево
SJK — Sao Jose Dos Campos, Бразилия, Sao Jose Dos Campos
SJL — Da Cachoeira, Бразилия, Сан-Габриэл
SJM — Сан Хуан, Доминиканская Республика, Сан Хуан
SJN — Municipal, США, Сент Джонс
SJO — Juan Santamarнa International, Коста-Рика, San Josй
SJP — Сан Хосе Ду Рио Прето, Бразилия, Сан Хосе Ду Рио Прето
SJQ — Сешеке, Замбия, Сешеке
SJR — San Juan D Ur, Колумбия, San Juan D Ur
SJS — Сан Хосе, Боливия, Сан-Хосе
SJT — Mathis Fld, США, San Angelo
SJU — Luis Munoz Marin Intl, Пуэрто Рико, Сан Хуан
SJV — Сан-Хавьер, Боливия, Сан-Хавьер
SJW — Daguocun, Китай, Шицзяжун
SJX — Сартанеджа, Белиз, Сартанеджа
SJY — Ilmajoki, Финляндия, Сейнайоки
SJZ — Sao Jorge Island, Португалия, Sao Jorge Island
SKA — Fairchild AFB, США, Спокане
SKB — Robert L Bradshaw International, Сент-Китс и Невис, Basseterre, St. Kitts Island
SKC — Суки, Папуа — Новая Гвинея, Суки
SKD — Самарканд, Узбекистан, Самарканд
SKE — Скиен, Норвегия, Скиен
SKF — Kelly AFB, США, Сен Антонио
SKG — Macedonia International, Греция, Салоники
SKH — Kadmandu, Непал, Surkhet
SKI — Скикда, Алжир, Скикда
SKJ — Sitkinak Cgs, США, Sitkinak Island
SKK — Shaktoolik, США, Shaktoolik
SKL — Broadford, Великобритания, Isle Of Skye
SKM — Скелдон, Гайана, Скелдон
SKN — Скаген, Норвегия, Stokmarknes
SKO — Сокото, Нигерия, Сокото
SKP — Petrovec, Македония, Скопье
SKQ — Секакес, Лесото, Секакес
SKR — Шакисо, Эфиопия, Шакисо
SKS — Vojens, Дания, Vojens
SKT — Sialkot International, Пакистан, Сиалкот
SKU — Скирос, Греция, Скирос
SKV — Mount Sinai, Египет, Санта-Катарина
SKW — Intermediate, США, Skwentna
SKX — Саранск, Россия, Саранск
SKY — Griffing Sandusky, США, Сандуски
SKZ — Суккур, Пакистан, Суккур
SLA — Gen Belgrano, Аргентина, Сальта
SLB — Municipal, США, Сторм Лейк
SLC — Salt Lake City International, США, Salt Lake City, UT
SLD — Шлияк, Словакия, Шлияк
SLE — Mcnary Field, США, Salem
SLF — Сулаель, Саудовская Аравия, Сулаель
SLG — Smith Field, США, Siloam Springs
SLH — Сола, Вануату, Сола
SLI — Солвези, Замбия, Солвези
SLJ — Stellar Air Park, США, Чандлер
SLK — Adirondack, США, Saranac Lake
SLL — Салала, Оман, Салала
SLM — Matacan, Испания, Саламанка
SLN — Salina, США, Salina
SLO — Leckrone, США, Salem
SLP — Сан-Луис-Потоси, Мексика, Сан-Луис-Потоси
SLQ — Sleetmute, США, Sleetmute
SLR — Sulphur Springs, США, Sulphur Springs
SLS — Силистра, Болгария, Силистра
SLT — Salida, США, Salida
SLU — George F L Charles, Сент-Люсия, Castries
SLV — Симла, Индия, Симла
SLW — Сальтильо, Мексика, Сальтильо
SLX — Salt Cay, Теркс и Кайкос, Salt Cay
SLY — Салехард, Россия, Салехард
SLZ — Marechal Cunha Machado, Бразилия, Sгo Luis
SMA — Vila Do Porto, Португалия, Санта-Мария
SMB — Сьерро-Сомбреро, Чили, Сьерро-Сомбреро
SMC — Санта Мария, Колумбия, Санта-Мария
SMD — Smith Field, США, Fort Wayne, IN
SME — Pulaski County, США, Somerset
SMF — Sacramento International, США, Sacramento, CA
SMG — Санта Мария, Перу, Санта-Мария
SMH — Сапманга, Папуа — Новая Гвинея, Сапманга
SMI — Samos, Греция, Samos
SMJ — Сим, Папуа — Новая Гвинея, Сим
SMK — St Michael, США, St Michael
SML — Estate Airstrip, Багамские острова, Stella Maris
SMM — Semporna, Малайзия, Semporna
SMN — Salmon, США, Salmon
SMO — Санта Моника, США, Санта Моника
SMP — Стокгольм, Папуа — Новая Гвинея, Стокгольм
SMQ — Sampit, Индонезия, Sampit
SMR — Simon Bolivar, Колумбия, Санта Марта
SMS — Sainte Marie, Мадагаскар, Sainte Marie
SMT — Сан-Мун-Лейк, Тайвань, Сан-Мун-Лейк
SMU — Sheep Mountain, США, Sheep Mountain
SMV — Samedan, Швейцария, Сент Мориц
SMW — Смара, Западная Сахара, Смара
SMX — Public, США, Санта-Мария
SMY — Сименти, Сенегал, Сименти
SMZ — Stoelmans Eiland, Суринам, Stoelmans Eiland
SNA — John Wayne, США, Orange County
SNB — Snake Bay, Австралия, Snake Bay
SNC — Salinas, Эквадор, Salinas
SND — Сено, Лаос, Сено
SNE — Preguica, Кабо-Верде, Sao Nicolau
SNF — Сан-Фелипе, Венесуэла, Сан-Фелипе
SNG — San Ignacio De Velasco, Боливия, San Ignacio De Velasco
SNH — Stanthorpe, Австралия, Stanthorpe
SNI — R.E. Murray, Либерия, Синоу
SNJ — Сан-Хулиан, Куба, Сан-Хулиан
SNK — Winston Field, США, Snyder
SNL — Municipal, США, Shawnee
SNM — San Ignacio De M, Боливия, San Ignacio De M
SNN — Шеннон, Ирландия, Шеннон
SNO — Сакан Накхон, Таиланд, Сакан Накхон
SNP — Saint Paul Island, США, Saint Paul Island
SNQ — Сан-Кинтин, Мексика, Сан-Кинтин
SNR — Montoir, Франция, St Nazaire
SNS — Salinas, США, Salinas
SNT — Sabana De Torres, Колумбия, Sabana De Torres
SNU — Abel Santa Maria, Куба, Санта-Клара
SNV — Санта-Элена, Венесуэла, Санта-Элена
SNW — Thandwe, Мьянма, Thandwe
SNX — Sabana De Mar, Доминиканская Республика, Sabana De Mar
SNY — Sidney, США, Sidney
SNZ — Санта-Круз, Бразилия, Санта-Круз-Айленд
SOA — Сок-Транг, Вьетнам, Сок-Транг
SOB — Saarmelleek/balaton, Венгрия, Saarmelleek
SOC — Adi Sumarmo, Индонезия, Соло Сити
SOD — Сорокаба, Бразилия, Сорокаба
SOE — Суанке, Конго, Суанке
SOF — София, Болгария, София
SOG — Haukasen, Норвегия, Сондал
SOH — Солита, Колумбия, Солита
SOI — Остров Саут Молл, Австралия, Остров Саут Молл
SOJ — Соркьосен, Норвегия, Соркьосен
SOK — Семонгконг, Лесото, Семонгконг
SOL — Solomon, США, Solomon
SOM — Edmundo Barrios, Венесуэла, Сан-Томе
SON — Pekoa, Вануату, Espiritu Santo
SOO — Содерхамн, Швеция, Содерхамн
SOP — Pinehurst-S. Pines, США, Southern Pines
SOQ — Jefman, Индонезия, Sorong
SOR — Эль-Таура, Сирия, Эль-Таура
SOT — Соданкюля, Финляндия, Соданкюля
SOU — Southampton Airport, Великобритания, Eastleigh near Southampton
SOV — Seldovia, США, Seldovia
SOW — Show Low, США, Show Low, AZ
SOX — Alberto Lleras Camargo, Колумбия, Согамосо
SOY — Стронсей, Великобритания, Стронсей
SOZ — Solenzara, Франция, Solenzara
SPA — Spartanburg, Downtown Memorial, США, Spartanburg, SC
SPB — SPB, Американские Виргинские острова, St Thomas Island
SPC — Ля Пальма, Испания, Santa Cruz De La Palma
SPD — Saidpur, Бангладеш, Saidpur
SPE — Сепулот, Малайзия, Сепулот
SPF — Black Hills, США, Spearfish
SPG — Whitted, США, Petersburg, AK
SPH — Сопу, Папуа — Новая Гвинея, Сопу
SPI — Capital, США, Springfield
SPJ — Eleftherios Venizelos, Греция, Афины
SPM — Spangdahlem, Германия, Spangdahlem
SPN — International, Северные Марианские острова, Saipan
SPO — Сан-Пабло, Испания, Sevilla
SPP — Менонге, Ангола, Менонге
SPQ — Catalina SPB, Кот д’Ивуар, Сан-Педро
SPR — Сан-Педро, Белиз, Сан-Педро
SPS — Sheppard AFB, США, Wichita Falls
SPT — Сипитанг, Малайзия, Сипитанг
SPU — Сплит, Хорватия, Сплит
SPV — Sepik Plains, Папуа — Новая Гвинея, Sepik Plains
SPW — Municipal, США, Spencer
SPX — Spaceland, США, Хьюстон
SPY — Сан-Педро, Кот д’Ивуар, Сан-Педро
SPZ — Springdale Muni, США, Springdale
SQA — Santa Ynez, США, Santa Ynez
SQB — Санта-Ана, Колумбия, Санта-Ана
SQC — Southern Cross, Австралия, Southern Cross
SQD — Синоп, Турция, Синоп
SQE — San Luis De Pale, Колумбия, San Luis De Pale
SQF — Солано, Колумбия, Солано
SQG — Sintang, Индонезия, Sintang
SQH — Na-San, Вьетнам, Son-La
SQI — Whiteside County, США, Sterling Rockfalls
SQJ — Шехди, Эфиопия, Шехди
SQK — Sidi Barani, Египет, Sidi Barani
SQL — Сан Карлос, США, Сан Карлос
SQM — Sao Miguel Azores, Бразилия, Sao Miguel Araguaia
SQN — Санана, Индонезия, Санана
SQO — Gunnarn, Швеция, Сторуман
SQP — Starcke, Австралия, Starcke
SQQ — Siauliai International, Литва, Siauliai
SQR — Inco Soroako Waws, Индонезия, Сороако
SQS — Matthew Spain, Колумбия, Сан-Игнасио
SQT — China Straits Airstrip, Папуа — Новая Гвинея, Samarai Island
SQU — Субик-Бей, Перу, Субик-Бей
SQV — Sequim Valley Arpt, США, Sequim
SQW — Skive Airport, Дания, Skive
SQX — Sao Miguel Do Oeste, Бразилия, Sao Miguel Do Oeste
SQY — Sao Lourenco Do Sul, Бразилия, Sao Lourenco Do Sul
SQZ — RAF Station, Великобритания, Scampton
SRA — Санта-Роза, Бразилия, Санта-Роса
SRB — Санта-Роза, Боливия, Санта-Роса
SRC — Searcy, США, Searcy
SRD — Сан-Рамон, Боливия, Сан-Рамон
SRE — Juana Azurduy de Padilla, Боливия, Сукре
SRF — Hamilton Field, США, Сан-Рафаэль
SRG — Achmad Yani, Индонезия, Семаранг
SRH — Сарх, Чад, Сарх
SRI — Самаринда, Индонезия, Самаринда
SRJ — Capitan G Q Guardia, Боливия, Сан-Борха
SRK — Сьерра-Леоне, Сьерра-Леоне, Сьерра-Леоне
SRL — Санта-Розалиа, Мексика, Санта-Росалия
SRM — Sandringham, Австралия, Sandringham
SRN — Страхан, Австралия, Страхан
SRO — Сантана-Рамос, Колумбия, Сантана-Рамос
SRP — Stord Airport, Норвегия, Сторд
SRQ — Sarasota-Bradenton International Airport, США, Sarasota, FL
SRR — Dunwich, Австрия, Stradbroke Island
SRS — Santa Fe De Bogota, Колумбия, Сан-Маркос
SRT — Сороти, Уганда, Сороти
SRU — Skypark, Колумбия, Санта-Круз-Айленд
SRV — Stony River, США, Stony River
SRW — Rowan County, США, Salisbury
SRX — Серт, Ливия, Серт
SRY — Dashte Naz, Иран, Сари
SRZ — El Trompillo, Боливия, Санта-Круз-Айленд
SSA — Luis Eduardo Magalhaes, Бразилия, Salvador, Bahia
SSB — SPB, Американские Виргинские острова, St Croix Island
SSC — Shaw AFB, США, Sumter
SSD — Сан-Фелипе, Колумбия, Сан-Фелипе
SSE — Шолапур, Индия, Шолапур
SSF — Stinson Municipal, Колумбия, Сен Антонио
SSG — Санта-Исабел-ду-М, Экваториальная Гвинея, Малабо
SSH — Ophira International, Египет, Шарм Эль Шейх
SSI — Mckinnon, США, Brunswick
SSJ — Stokka, Норвегия, Санднессьоен
SSK — Sturt Creek, Австралия, Sturt Creek
